total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
10415023,13885120,7075139,8.25,26.36,3259014,17.91,35.14,343547,264079,6683,0.75
10634752,13885120,7205989,8.47,26.92,3347266,18.24,35.14,219729,259101,6557,0.766
10805474,13885120,7318100,8.62,27.35,3406971,18.52,35.14,170722,242771,6144,0.778
10925581,15047220,7400238,8.72,27.65,3444791,18.73,38.08,120107,204065,5165,0.726
11062505,15301360,7497005,8.82,28,3485179,18.97,38.73,136924,190191,4813,0.723
11220508,15725740,7600220,8.96,28.4,3541495,19.24,39.8,158003,194328,4918,0.714
11428034,16057300,7738923,9.15,28.92,3614744,19.59,40.64,207526,193794,4905,0.712
11881857,16376020,8025538,9.67,30.07,3819191,20.31,41.45,453823,209548,5303,0.726
11883375,16376020,8027407,9.67,30.08,3819878,20.32,41.45,1518,178375,4514,0.726
12306608,16376020,8287692,10.13,31.15,4002159,20.98,41.45,423233,214448,5427,0.752
12686451,17386130,8540236,10.51,32.11,4153287,21.61,44,379843,251553,6366,0.73
13161027,17612260,8847129,11,33.31,4347379,22.39,44.57,474576,299789,7587,0.747
13563094,18024930,9097819,11.43,34.33,4517256,23.03,45.62,402067,334655,8470,0.752
13882984,18487510,9302378,11.76,35.14,4644718,23.54,46.79,319890,350707,8876,0.751
14276125,18875980,9562989,12.13,36.13,4792324,24.2,47.77,393141,342038,8657,0.756
14708175,18875980,9833939,12.61,37.22,4980526,24.89,47.77,432050,403543,10213,0.779
15050673,18875980,10070870,12.91,38.09,5102480,25.49,47.77,342498,392009,9921,0.797
15349039,19953070,10279020,13.17,38.85,5203432,26.01,50.5,298366,380370,9627,0.769
15691888,20489560,10522002,13.51,39.71,5337045,26.63,51.86,342849,361552,9150,0.766
16062266,20941290,10757446,13.87,40.65,5481297,27.23,53,370378,357025,9036,0.767
